source,relation,target,original_label
NCT00273650,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT00273650,TESTS,intervention:methylcobalamin,methylcobalamin
NCT00273650,TESTS,intervention:placebo-control,saline placebo
NCT00414921,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00414921,TESTS,intervention:clonidine,clonidine
NCT00414921,TESTS,intervention:methylphenidate,methylphenidate
NCT00414921,TESTS,intervention:placebo-control,placebo
NCT00418184,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00418184,TESTS,intervention:colored-cellulose-tainted-with-fishy-odor,Colored cellulose tainted with fishy odor
NCT00418184,TESTS,intervention:phosphatidylserine,Phosphatidylserine-Omega3
NCT00561340,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00561340,TESTS,intervention:dietary-intervention,Nutritional counseling
NCT00561340,TESTS,intervention:pediasure,Pediasure
NCT00572741,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT00572741,TESTS,intervention:b-complex,B complex
NCT00572741,TESTS,intervention:b12,B12
NCT00572741,TESTS,intervention:carnitine,carnitine
NCT00572741,TESTS,intervention:cod-liver-oil,cod liver oil
NCT00572741,TESTS,intervention:folate,folate
NCT00572741,TESTS,intervention:mineral-complex,Mineral complex
NCT00572741,TESTS,intervention:placebo-control,Placebo
NCT00572741,TESTS,intervention:vitamin-c,vitamin C
NCT00577447,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT00577447,TESTS,intervention:omega-3-epa-dha,docosahexaenoic acid (DHA)
NCT00577447,TESTS,intervention:placebo-control,Placebo
NCT00672360,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT00672360,TESTS,intervention:folic-acid,Folic acid
NCT00672360,TESTS,intervention:placebo-control,Placebo
NCT00700323,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00700323,TESTS,intervention:placebo-control,placebo
NCT00700323,TESTS,intervention:ps-omega3-conjugate-supplementation,PS-Omega3 conjugate supplementation
NCT00704990,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00704990,TESTS,intervention:zinc-magnesium-vitamin-b6-vitamin-c-compound-natural-health-product-for-adhd,"Zinc, Magnesium, Vitamin B6, Vitamin C (Compound Natural Health Product for ADHD)"
NCT00770627,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00770627,TESTS,intervention:omega-3-epa-dha,Omega 3 caps
NCT00786799,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT00786799,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acids
NCT00819429,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00819429,TESTS,intervention:exercise-intervention,Social Skills Training
NCT00819429,TESTS,intervention:omega-3-epa-dha,Omega-3
NCT00819429,TESTS,intervention:standard-treatment-or-tau-in-child-guidance-clinic,Standard Treatment (or TAU in Child Guidance Clinic)
NCT00874536,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT00874536,TESTS,intervention:omega-3-epa-dha,omega-3 fatty acid alpha-linolenic acid (ALA)
NCT00874536,TESTS,intervention:placebo-control,Placebo
NCT01022229,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01022229,TESTS,intervention:compound-natural-health-product,Compound Natural Health Product
NCT01022229,TESTS,intervention:placebo-control,Placebo
NCT01039792,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01039792,TESTS,intervention:methyl-b12,Methyl B12
NCT01039792,TESTS,intervention:placebo-control,Placebo
NCT01040702,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01040702,TESTS,intervention:methylphenidate,methylphenidate
NCT01040702,TESTS,intervention:sweetener-pill,sweetener pill
NCT01055119,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01055119,TESTS,intervention:omega-3-epa-dha,Omega-3 fatty acids
NCT01109849,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01109849,TESTS,intervention:behavior-therapy,behavior therapy
NCT01109849,TESTS,intervention:caloric-supplement,caloric supplement
NCT01109849,TESTS,intervention:drug-holiday,drug holiday
NCT01109849,TESTS,intervention:methylphenidate,Extended release (ER) methylphenidate product
NCT01109849,TESTS,intervention:monitoring,monitoring
NCT01219309,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01219309,TESTS,intervention:omega-3-epa-dha,Omega 3/6 fatty acids
NCT01219309,TESTS,intervention:placebo-control,Placebo (olive oil)
NCT01225198,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01225198,TESTS,intervention:multi-vitamin-mineral-supplement,Multi-Vitamin/Mineral Supplement
NCT01225198,TESTS,intervention:placebo-control,Liquid Placebo
NCT01230359,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01230359,TESTS,intervention:pyridoxine-hydrochloride,Pyridoxine hydrochloride
NCT01230359,TESTS,intervention:tang-orange-powder,Tang orange powder
NCT01248728,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01248728,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acids
NCT01248728,TESTS,intervention:placebo-control,Placebo
NCT01260961,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01260961,TESTS,intervention:docosahexanoic-acid,Docosahexanoic Acid
NCT01260961,TESTS,intervention:placebo-control,Placebo
NCT01329770,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01329770,TESTS,intervention:ascorbic-acid-vitamin-c-and-alpha-tocopherol-vitamin-e,Ascorbic Acid (Vitamin C) and Alpha-tocopherol (Vitamin E)
NCT01329770,TESTS,intervention:placebo-control,Placebo
NCT01340690,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01340690,TESTS,intervention:3-fatty-acids-suspension,ω-3 fatty acids suspension
NCT01340690,TESTS,intervention:placebo-control,placebo suspension
NCT01366859,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01366859,TESTS,intervention:placebo-control,Rice Protein (Placebo)
NCT01366859,TESTS,intervention:whey-protein,Whey Protein
NCT01554462,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
